name,BalabanJ_rdkit,Chi0n_rdkit,LabuteASA_rdkit,MinPartialCharge_rdkit,MolLogP_rdkit,TPSA_rdkit,SlogP_VSA1_rdkit,SlogP_VSA2_rdkit,SMR_VSA1_rdkit,SMR_VSA2_rdkit,PEOE_VSA1_rdkit,PEOE_VSA2_rdkit,MolWt_rdkit
Phospho#T,1.7059047037599895,-0.10917345005982887,0.025869819929577705,0.2267286043234119,-0.7796881338425922,1.4130749423386286,-0.617703480457529,0.2413234501683954,2.205144312063459,-0.2748626030391376,1.1302134366434295,0.31254006518434946,0.5787406548534295
Phospho#Y,-1.2867557170007253,1.1477122871889234,1.5152018909068758,0.21294012243783392,0.9744748422451136,1.4130749423386286,0.5158372777169925,-0.42557328363800256,2.205144312063459,-0.2748626030391376,-0.16702329562350843,1.769973257032849,1.867184513363217
Phospho#D,1.4934670672147272,-0.08958976494652297,0.2418831851130124,0.21360305117363904,-1.4600680188460289,2.068739301220057,-0.617703480457529,0.22661087773266148,3.006585588084739,-0.2748626030391376,-0.16702329562350798,3.0976602548026966,0.8689939208478935
Phospho#C,0.853005963039106,-0.5576055780400393,-0.062033265195287485,0.21594222685853692,-0.306537137086281,1.0585475824982307,-0.617703480457529,0.2029621696545348,1.4489675303451972,-0.2748626030391376,1.1302134366434295,-0.9401606767676102,0.6211068792612604
Phospho#R,0.6826600143035647,0.9913533307017184,1.2389928523511073,0.21108045262799913,-1.516497151741712,2.898786565158408,1.9893062542850823,0.9406013670343553,1.4489675303451972,3.573213839508789,2.4406891769567807,1.966516335984182,1.722151289483985
Formyl(N-T)#M,0.7816444896434155,-0.11163526853226918,0.07636858332984371,0.28964195357472894,0.7238389286936149,-1.032894968239541,-0.7221631633380396,0.5175155447728733,-0.1486094427359978,-0.2748626030391376,-1.3847829326675456,-0.9401606767676102,0.124689311052893
Formyl#K,-0.2424300893464133,0.18894431980699328,0.15847153835130146,0.21107900802943536,-0.17617185178676548,-0.03345814234060952,0.7145541302791438,-0.07944623617475187,-0.1486094427359978,-0.2748626030391376,0.028444617170121228,0.38752632100223733,0.06189762617602432
Deamidated#R,0.009260004236447269,0.06244364811907359,0.1041308547496782,0.013849014183488542,-0.2536555550958708,1.004004911753554,0.7145541302791438,0.43603720962925446,-0.09645804145884425,3.573213839508789,1.2870954243776347,0.5577598179400217,0.08240611697217179
Deamidated#F,-1.490432739510331,0.00843429716041404,0.12422749074791503,0.37441928411189423,1.7850758031616716,-1.3735946087362179,-2.0544207740747122,-0.9301374410431049,-0.09645804145884425,-0.2748626030391376,-1.4366078657733825,-2.2678476745374576,-0.10466121000645229
Deamidated#N,0.6703935787165266,-0.9712202493273807,-0.8719119206812028,-0.02060618221897762,-0.8130005020994365,0.28150657604414175,-0.617703480457529,-0.2847408878413893,0.7049832345624368,-0.2748626030391376,-0.023380315935716142,0.38752632100223733,-0.7911767121329564
Deamidated#Q,0.3781753398682327,-0.606851652528873,-0.5415249775687028,-0.03211823184780885,-0.2504396857792997,0.28150657604414286,-0.617703480457529,-0.2847408878413893,0.7049832345624368,-0.2748626030391376,-0.023380315935716142,0.38752632100223733,-0.5000101125402837
Malonyl#K,0.2591131500103356,1.2119174566078175,1.2841145068246473,0.04777421282351601,-0.3998406100827244,1.3992472229949073,0.7145541302791438,1.0757114820866838,1.5064245105837177,-0.2748626030391376,1.2870954243776347,1.715213318772085,1.266584642213692
Nitro#Y,-0.7369901309470989,0.877407144608596,1.1620031533825907,-4.470986622272305,1.1796847990827337,1.282863918518591,-0.617703480457529,-0.3990223398262873,0.7265087096016052,-0.2748626030391376,-0.023380315935716142,1.8606620807152365,1.1410427876235099
Biotin#K,-3.8087975438875317,4.0571253682486965,4.345167413930442,0.21107900802943536,1.4043630230834494,1.546358792679493,3.379069351752489,3.0468867475437627,0.652831833285283,-0.2748626030391376,2.649396097796822,0.38752632100223733,4.17793927441376
Oxidation#P,-1.8947001457241262,-0.817219959974738,-0.7988492671531748,0.21255400232553298,-0.9272143361229047,-0.9115183206668808,-0.7221631633380396,0.445027501320702,-0.09645804145884425,-0.2748626030391376,-0.12613212546003225,-0.9401606767676102,-0.8321106633981417
Methyl#R,0.21197560222031364,0.6175968672501401,0.4737404275571828,0.2110804526279873,-1.0443123578742353,0.7850660221446417,2.1512714238963278,0.6413318612958919,-0.9500507187572786,-0.2748626030391376,1.441672167007788,0.44231913236713055,0.35314725609580666
